epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.9102,1.6735,4.15798,1.1452,0.0017,0.12315,0.01123,0.00556,1.38317,4.12106,1.17736,0.0946,0.0006,0.0006
2,63.7875,1.10176,2.61677,0.9031,0.00144,0.13793,0.0016,0.00064,2.56292,3.84088,1.66298,0.0882871,0.00128713,0.00128713
3,89.9994,0.95473,1.92419,0.8906,0.00079,0.06897,0.00349,0.00038,2.62835,3.90469,1.91127,0.0819604,0.0019604,0.0019604
4,109.324,0.88602,1.71419,0.88991,0.00111,0.14286,0.04352,0.01962,2.09419,3.6237,1.73142,0.0756198,0.00261981,0.00261981
5,133.411,0.96705,1.48294,0.90289,0,0,0,0,3.91934,540.553,4.59176,0.0692654,0.00326536,0.00326536
6,155.408,0.88338,1.26801,0.89156,0,0,0,0,3.77806,4154,7.95308,0.0628971,0.00389705,0.00389705
7,186.767,0.84738,1.23735,0.89095,0,0,0,0,2.69341,5237.33,3.32919,0.0565149,0.00451488,0.00451488
8,213.449,0.84545,1.11181,0.88111,0,0,0,0,3.69744,6388.9,3.55342,0.0501188,0.00511885,0.00511885
9,239.741,0.79394,1.04432,0.86519,0,0,0,0,3.21344,1019.88,1.89052,0.043709,0.00570896,0.00570896
10,265.763,0.73903,0.98549,0.87185,0.00327,0.12315,0.00341,0.00156,2.26457,1281.91,1.73019,0.0372852,0.00628521,0.00628521
11,304.323,0.73913,0.896,0.87075,0.002,0.133,0.00326,0.00144,2.53326,1240.14,2.01033,0.0308476,0.0068476,0.0068476
12,341.149,0.82557,0.95071,0.87936,0.375,0.07143,0.08414,0.02933,2.20236,813.296,2.45417,0.0243961,0.00739613,0.00739613
13,370.119,0.85354,0.91273,0.87346,0.01132,0.21823,0.06362,0.0301,1.99676,583.739,2.16107,0.0179308,0.0079308,0.0079308
14,397.74,0.77586,0.82675,0.87159,0.00059,0.07882,0.00049,0.00029,2.27171,766.532,2.77579,0.0114516,0.00845161,0.00845161
15,421.123,0.81623,0.84036,0.87712,0.14599,0.17291,0.01785,0.01184,1.63233,117.786,1.40803,0.008614,0.008614,0.008614
16,450.257,0.79281,0.8265,0.87048,0.25136,0.36293,0.29014,0.21197,1.27245,17.0532,1.15772,0.008515,0.008515,0.008515
17,480.988,0.74089,0.77498,0.87906,0,0,0,0,2.56366,4107.85,4.25991,0.008416,0.008416,0.008416
18,505.445,0.68702,0.71765,0.85146,0,0,0,0,2.90058,7338.09,9.81599,0.008317,0.008317,0.008317
19,531.951,0.69895,0.67456,0.85665,0.28586,0.08485,0.1573,0.0944,1.8866,696.3,1.6326,0.008218,0.008218,0.008218
20,556.442,0.70772,0.73122,0.84756,0,0,0,0,3.5853,6022.88,4.81919,0.008119,0.008119,0.008119
21,586.218,0.673,0.68644,0.84532,0.14293,0.0335,0.07403,0.05184,2.49554,2248.26,2.87308,0.00802,0.00802,0.00802
22,615.147,0.66709,0.65698,0.84811,0.71631,0.38214,0.37118,0.30028,0.75509,2.43153,0.95028,0.007921,0.007921,0.007921
23,638.879,0.70212,0.69525,0.85784,0.90877,0.63985,0.82689,0.68493,0.67889,1.67341,0.93522,0.007822,0.007822,0.007822
24,662.323,0.67432,0.66811,0.85261,0.64547,0.81967,0.82959,0.66127,0.74508,1.37938,0.9524,0.007723,0.007723,0.007723
25,687.345,0.667,0.64571,0.86335,0.89796,0.82052,0.83871,0.69153,0.72984,1.29061,0.94995,0.007624,0.007624,0.007624
26,712.351,0.67196,0.59865,0.86153,0.7417,0.42857,0.61321,0.47465,0.756,1.94691,0.95299,0.007525,0.007525,0.007525
27,738.715,0.64994,0.59333,0.84101,0.6615,0.61429,0.60751,0.5073,0.74981,1.51295,0.94817,0.007426,0.007426,0.007426
28,767.842,0.71256,0.63547,0.85011,0.69253,0.7455,0.74722,0.62376,0.6547,1.21503,0.93162,0.007327,0.007327,0.007327
29,796.626,0.6645,0.59768,0.83998,0.85396,0.83945,0.92663,0.77064,0.68537,0.73403,0.93737,0.007228,0.007228,0.007228
30,823.468,0.67328,0.60989,0.84823,0.67234,0.89787,0.90046,0.75025,0.71342,0.80922,0.94647,0.007129,0.007129,0.007129
31,848.147,0.6822,0.58059,0.83534,0.76279,0.94046,0.88052,0.70306,0.78101,0.78584,0.95878,0.00703,0.00703,0.00703
32,875.266,0.67229,0.55957,0.82676,0.77745,0.77877,0.87601,0.71766,0.67018,0.89046,0.93051,0.006931,0.006931,0.006931
33,900.71,0.64762,0.54924,0.83098,0.7452,0.81656,0.8344,0.663,0.75434,0.84043,0.94526,0.006832,0.006832,0.006832
34,925.616,0.68209,0.60194,0.85095,0.88507,0.7813,0.85514,0.7091,0.68302,0.68162,0.93009,0.006733,0.006733,0.006733
35,946.69,0.67916,0.57101,0.85251,0.91686,0.85132,0.89548,0.75373,0.64543,0.61292,0.92487,0.006634,0.006634,0.006634
36,968.634,0.66043,0.57991,0.84337,0.855,0.79247,0.90738,0.76918,0.63957,0.60141,0.92831,0.006535,0.006535,0.006535
37,991.912,0.63674,0.52401,0.83315,0.93045,0.70632,0.74345,0.615,0.65527,0.72295,0.9279,0.006436,0.006436,0.006436
38,1016.71,0.63017,0.56462,0.83038,0.88545,0.67636,0.69172,0.58381,0.63949,0.75034,0.92176,0.006337,0.006337,0.006337
39,1042.74,0.60934,0.51519,0.84517,0.75594,0.95175,0.94286,0.80119,0.66953,0.49614,0.92798,0.006238,0.006238,0.006238
40,1065.04,0.60321,0.50063,0.82468,0.78857,0.92726,0.95452,0.80047,0.68846,0.55655,0.93652,0.006139,0.006139,0.006139
41,1086.91,0.60306,0.52331,0.84908,0.79889,0.92407,0.95452,0.80925,0.65425,0.52478,0.92974,0.00604,0.00604,0.00604
42,1110.02,0.60979,0.50736,0.81798,0.85828,0.97428,0.99024,0.81256,0.65074,0.57556,0.93065,0.005941,0.005941,0.005941
43,1134.99,0.60675,0.52684,0.84445,0.88054,0.98789,0.98548,0.82969,0.64429,0.45823,0.92498,0.005842,0.005842,0.005842
44,1157.89,0.59861,0.49436,0.82882,0.91461,0.99488,0.98071,0.79649,0.72336,0.46613,0.93876,0.005743,0.005743,0.005743
45,1184.15,0.6147,0.53122,0.82246,0.9243,0.99826,0.995,0.8173,0.71765,0.46922,0.93502,0.005644,0.005644,0.005644
46,1214.46,0.59677,0.51519,0.82746,0.91516,0.98776,0.995,0.82277,0.64967,0.45452,0.92607,0.005545,0.005545,0.005545
47,1240.57,0.61263,0.51961,0.8359,0.91665,0.99885,0.995,0.81394,0.63285,0.43881,0.92573,0.005446,0.005446,0.005446
48,1267.18,0.58019,0.4829,0.83025,0.9051,0.99288,0.995,0.83958,0.62637,0.42267,0.92214,0.005347,0.005347,0.005347
49,1295.13,0.58222,0.49546,0.83302,0.9018,0.98428,0.995,0.83691,0.60855,0.44806,0.91937,0.005248,0.005248,0.005248
50,1327.94,0.61418,0.4958,0.82328,0.8963,0.99033,0.995,0.80756,0.64667,0.42827,0.92632,0.005149,0.005149,0.005149
51,1356.49,0.62525,0.49976,0.82272,0.91928,0.99146,0.995,0.83925,0.63176,0.4417,0.92155,0.00505,0.00505,0.00505
52,1381.86,0.57881,0.47138,0.81901,0.9731,0.99236,0.995,0.83952,0.63581,0.43188,0.92386,0.004951,0.004951,0.004951
53,1406.7,0.61411,0.47134,0.83254,0.95851,0.99738,0.995,0.83347,0.65101,0.44765,0.92724,0.004852,0.004852,0.004852
54,1431.57,0.56855,0.46052,0.83589,0.92469,0.99788,0.995,0.84736,0.62507,0.42542,0.92437,0.004753,0.004753,0.004753
55,1456.3,0.59899,0.47878,0.82198,0.92463,0.98459,0.99024,0.85081,0.6218,0.47083,0.92257,0.004654,0.004654,0.004654
56,1481.86,0.58433,0.48694,0.83948,0.8523,0.98549,0.9726,0.82249,0.63134,0.53978,0.92484,0.004555,0.004555,0.004555
57,1507.8,0.58071,0.47187,0.823,0.84298,0.98201,0.9482,0.8176,0.60121,0.4808,0.92262,0.004456,0.004456,0.004456
58,1532.88,0.59479,0.45591,0.82302,0.90631,0.91492,0.96062,0.80363,0.65546,0.48883,0.9303,0.004357,0.004357,0.004357
59,1556.38,0.56267,0.4347,0.83219,0.91641,0.94396,0.95567,0.8055,0.65007,0.44413,0.9289,0.004258,0.004258,0.004258
60,1579.66,0.58743,0.45685,0.83634,0.91577,0.95062,0.97153,0.8044,0.65701,0.48442,0.92946,0.004159,0.004159,0.004159
61,1598.13,0.55863,0.44549,0.8199,0.90213,0.98164,0.97867,0.80052,0.6562,0.48096,0.93122,0.00406,0.00406,0.00406
62,1617.22,0.59472,0.47216,0.83676,0.92139,0.98841,0.995,0.82559,0.62735,0.42598,0.9259,0.003961,0.003961,0.003961
63,1642.16,0.58734,0.4389,0.83258,0.95456,0.97767,0.995,0.85723,0.6114,0.38894,0.91931,0.003862,0.003862,0.003862
64,1666.76,0.58212,0.46228,0.83016,0.9651,0.99,0.995,0.82647,0.62586,0.38052,0.92755,0.003763,0.003763,0.003763
65,1690.84,0.56384,0.43665,0.82399,0.95481,0.99131,0.995,0.82667,0.63682,0.38761,0.9277,0.003664,0.003664,0.003664
66,1713.13,0.56973,0.44592,0.82827,0.89983,0.98511,0.9895,0.84019,0.59723,0.44392,0.92076,0.003565,0.003565,0.003565
67,1736.69,0.59102,0.45537,0.83241,0.87899,0.96961,0.98392,0.8365,0.60422,0.50377,0.92208,0.003466,0.003466,0.003466
68,1759.95,0.56504,0.41544,0.82718,0.87075,0.97817,0.98936,0.82488,0.61983,0.5269,0.92446,0.003367,0.003367,0.003367
69,1790.62,0.60018,0.43802,0.82438,0.87037,0.97925,0.98944,0.82559,0.62412,0.55026,0.92359,0.003268,0.003268,0.003268
70,1810.96,0.57479,0.42226,0.81173,0.86952,0.97887,0.9891,0.85807,0.61599,0.54066,0.92072,0.003169,0.003169,0.003169
71,1829.75,0.55539,0.42457,0.82377,0.9232,0.95078,0.9922,0.82496,0.62178,0.47961,0.92074,0.00307,0.00307,0.00307
72,1845.19,0.54225,0.41512,0.83889,0.9644,0.97615,0.99208,0.84364,0.59196,0.43148,0.91462,0.002971,0.002971,0.002971
73,1859.56,0.57189,0.43169,0.82472,0.95175,0.98098,0.9886,0.84969,0.60573,0.43319,0.91868,0.002872,0.002872,0.002872
74,1879.3,0.59339,0.43684,0.82877,0.9429,0.98204,0.98496,0.83763,0.61727,0.43393,0.91802,0.002773,0.002773,0.002773
75,1909.69,0.56188,0.44012,0.82129,0.94481,0.9786,0.98533,0.83159,0.60129,0.40905,0.91454,0.002674,0.002674,0.002674
76,1932.77,0.54204,0.40615,0.81367,0.95962,0.97794,0.98996,0.84555,0.58865,0.42931,0.91153,0.002575,0.002575,0.002575
77,1957.63,0.52689,0.40319,0.82101,0.95304,0.97798,0.99472,0.8576,0.58107,0.43482,0.91081,0.002476,0.002476,0.002476
78,1989.17,0.55317,0.40246,0.82129,0.92973,0.97679,0.99388,0.85182,0.58786,0.42616,0.91425,0.002377,0.002377,0.002377
79,2014.64,0.55611,0.39989,0.81851,0.91885,0.98303,0.99195,0.85164,0.57989,0.45526,0.91303,0.002278,0.002278,0.002278
80,2048.59,0.55499,0.43709,0.825,0.92495,0.97666,0.99201,0.83915,0.60099,0.44017,0.91511,0.002179,0.002179,0.002179
81,2079,0.55227,0.40426,0.82547,0.92386,0.98207,0.98988,0.83753,0.60881,0.43085,0.91759,0.00208,0.00208,0.00208
82,2109.35,0.52846,0.38893,0.82237,0.93707,0.97566,0.99323,0.85117,0.59287,0.41472,0.91607,0.001981,0.001981,0.001981
83,2136.16,0.52184,0.38775,0.81384,0.96456,0.96317,0.99472,0.85603,0.58217,0.4144,0.91459,0.001882,0.001882,0.001882
84,2165.25,0.54864,0.39495,0.83503,0.98274,0.97392,0.995,0.86567,0.58608,0.40787,0.91424,0.001783,0.001783,0.001783
85,2193.27,0.52837,0.38502,0.81132,0.98715,0.97821,0.995,0.85364,0.58993,0.39244,0.91412,0.001684,0.001684,0.001684
86,2217.96,0.52627,0.37881,0.82109,0.98564,0.97845,0.995,0.84369,0.59368,0.3649,0.91512,0.001585,0.001585,0.001585
87,2241.18,0.53233,0.39242,0.80844,0.97904,0.98184,0.995,0.85169,0.58378,0.34806,0.91376,0.001486,0.001486,0.001486
88,2266.9,0.5516,0.39546,0.81751,0.97455,0.99089,0.995,0.85879,0.57317,0.33304,0.91088,0.001387,0.001387,0.001387
89,2291.21,0.53477,0.36703,0.8276,0.97418,0.98766,0.995,0.86141,0.56728,0.32694,0.91004,0.001288,0.001288,0.001288
90,2315.07,0.5192,0.38044,0.8245,0.97903,0.98214,0.995,0.85394,0.56272,0.3157,0.91186,0.001189,0.001189,0.001189
91,2338.45,0.49932,0.3421,0.81068,0.98157,0.98002,0.995,0.8461,0.57456,0.3322,0.91589,0.00109,0.00109,0.00109
