epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,930.291,0.59597,0.48825,0.82817,0.91488,0.95851,0.99208,0.84203,0.60924,0.47738,0.93443,0.005743,0.005743,0.005743
45,953.914,0.61079,0.53564,0.82141,0.93032,0.96086,0.99208,0.84212,0.61651,0.46443,0.93687,0.005644,0.005644,0.005644
46,978.958,0.6049,0.51196,0.82441,0.95643,0.97941,0.995,0.84152,0.58892,0.43287,0.9322,0.005545,0.005545,0.005545
47,1000.91,0.61082,0.49632,0.83812,0.92346,0.95624,0.98944,0.84965,0.57473,0.44794,0.93101,0.005446,0.005446,0.005446
48,1023.6,0.62257,0.50631,0.83293,0.94099,0.98232,0.995,0.8427,0.61008,0.40941,0.94102,0.005347,0.005347,0.005347
49,1047.2,0.61078,0.50032,0.83482,0.93269,0.98474,0.995,0.84624,0.64184,0.43176,0.95027,0.005248,0.005248,0.005248
50,1072.35,0.61298,0.49128,0.82782,0.9229,0.96545,0.99208,0.81826,0.68552,0.50844,0.95105,0.005149,0.005149,0.005149
51,1094.36,0.62092,0.47842,0.8169,0.92464,0.98064,0.995,0.8429,0.61108,0.45201,0.93697,0.00505,0.00505,0.00505
52,1117.52,0.57461,0.46816,0.81477,0.9878,0.96725,0.995,0.79791,0.77493,0.42669,0.96967,0.004951,0.004951,0.004951
53,1139.14,0.63189,0.48266,0.83204,0.97987,0.96199,0.995,0.78275,0.81898,0.42759,0.98615,0.004852,0.004852,0.004852
54,1161.78,0.60572,0.47216,0.84044,0.89699,0.96183,0.995,0.82572,0.62047,0.41132,0.9428,0.004753,0.004753,0.004753
55,1185.7,0.62896,0.49746,0.82714,0.86309,0.97593,0.98917,0.84,0.59763,0.44741,0.93619,0.004654,0.004654,0.004654
56,1207.42,0.62226,0.49236,0.84032,0.91001,0.97433,0.98625,0.84925,0.55227,0.46425,0.92963,0.004555,0.004555,0.004555
57,1229.75,0.63728,0.49744,0.83687,0.90896,0.99107,0.98625,0.85063,0.52342,0.43444,0.92553,0.004456,0.004456,0.004456
58,1252.65,0.605,0.44683,0.82421,0.90657,0.98421,0.98981,0.82973,0.63482,0.4595,0.93919,0.004357,0.004357,0.004357
59,1274.65,0.62212,0.46909,0.84047,0.90531,0.95864,0.98648,0.81913,0.60014,0.48209,0.93816,0.004258,0.004258,0.004258
60,1298.75,0.5963,0.49714,0.83755,0.90519,0.97308,0.98021,0.82351,0.53846,0.42105,0.93183,0.004159,0.004159,0.004159
61,1322.48,0.59486,0.45641,0.82676,0.88291,0.97561,0.98312,0.84675,0.55073,0.4001,0.93226,0.00406,0.00406,0.00406
62,1344.67,0.59842,0.48093,0.83489,0.9052,0.96101,0.99208,0.83599,0.58677,0.42172,0.93935,0.003961,0.003961,0.003961
63,1367.23,0.5747,0.44353,0.83708,0.93789,0.96134,0.995,0.84463,0.61658,0.42234,0.9464,0.003862,0.003862,0.003862
64,1390.2,0.57,0.45713,0.83331,0.93737,0.97605,0.995,0.85694,0.55302,0.39387,0.93137,0.003763,0.003763,0.003763
65,1412.7,0.59385,0.4566,0.82951,0.92747,0.98631,0.99208,0.85358,0.54983,0.37438,0.93028,0.003664,0.003664,0.003664
66,1440.54,0.57083,0.45124,0.82936,0.92999,0.98974,0.99208,0.85276,0.52944,0.34197,0.92991,0.003565,0.003565,0.003565
67,1466.22,0.57372,0.44912,0.83546,0.94496,0.95621,0.99208,0.84791,0.51879,0.34446,0.9282,0.003466,0.003466,0.003466
68,1492.07,0.57659,0.4409,0.82932,0.89501,0.99387,0.99208,0.85066,0.517,0.35078,0.92665,0.003367,0.003367,0.003367
69,1514.77,0.58188,0.4552,0.82626,0.89895,0.99391,0.99208,0.84727,0.53774,0.36694,0.92835,0.003268,0.003268,0.003268
