epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
46,2744.78,0.43186,0.30622,0.86094,0.99867,1,0.995,0.96401,0.26587,0.21693,0.75855,0.005545,0.005545,0.005545
47,2792.33,0.39767,0.29281,0.84712,0.99873,1,0.995,0.94533,0.35609,0.20795,0.76836,0.005446,0.005446,0.005446
48,2836.32,0.40051,0.29342,0.85575,0.99787,1,0.995,0.97307,0.35777,0.28148,0.78329,0.005347,0.005347,0.005347
49,2890.16,0.4102,0.29867,0.849,0.99786,1,0.995,0.91992,0.44335,0.21097,0.776,0.005248,0.005248,0.005248
50,2943.37,0.419,0.30026,0.85521,0.99847,1,0.995,0.90989,0.42998,0.31257,0.78555,0.005149,0.005149,0.005149
51,2997.03,0.40898,0.30998,0.8432,0.99863,1,0.995,0.96181,0.27289,0.19795,0.76583,0.00505,0.00505,0.00505
52,3050.2,0.39498,0.28858,0.84029,0.99873,1,0.995,0.94697,0.35641,0.24683,0.77331,0.004951,0.004951,0.004951
53,3100.47,0.42857,0.30717,0.85279,1,1,0.995,0.90707,0.32609,0.24269,0.77168,0.004852,0.004852,0.004852
54,3154.04,0.41963,0.30406,0.84843,1,1,0.995,0.93752,0.35928,0.27338,0.7888,0.004753,0.004753,0.004753
55,3208.63,0.40701,0.28324,0.85545,1,1,0.995,0.9497,0.39353,0.2766,0.77336,0.004654,0.004654,0.004654
56,3261.47,0.39945,0.28283,0.85549,0.99869,1,0.995,0.95267,0.31964,0.2442,0.78245,0.004555,0.004555,0.004555
57,3317.1,0.3957,0.28562,0.84366,0.99863,1,0.995,0.96492,0.3606,0.31219,0.77192,0.004456,0.004456,0.004456
58,3369.68,0.40443,0.29079,0.84415,0.99865,1,0.995,0.93342,0.39271,0.30331,0.77162,0.004357,0.004357,0.004357
59,3423.64,0.41834,0.29764,0.84677,0.9987,1,0.995,0.94555,0.28966,0.26658,0.76762,0.004258,0.004258,0.004258
60,3478.24,0.38972,0.27459,0.84045,0.99871,1,0.995,0.96021,0.34077,0.31724,0.76905,0.004159,0.004159,0.004159
61,3531.73,0.38801,0.2664,0.84456,1,1,0.995,0.97378,0.31134,0.21846,0.76664,0.00406,0.00406,0.00406
62,3592.56,0.38059,0.27167,0.83803,0.99871,1,0.995,0.93578,0.32429,0.21996,0.78085,0.003961,0.003961,0.003961
63,3650.75,0.35746,0.25657,0.84726,1,1,0.995,0.95752,0.30995,0.19203,0.77645,0.003862,0.003862,0.003862
64,3705.11,0.38211,0.26506,0.84233,1,1,0.995,0.95388,0.33382,0.18916,0.76808,0.003763,0.003763,0.003763
65,3760.02,0.37122,0.25507,0.83118,1,1,0.995,0.96678,0.35856,0.23678,0.76963,0.003664,0.003664,0.003664
66,3814.45,0.35897,0.2565,0.84053,0.9987,1,0.995,0.97879,0.31223,0.19797,0.76383,0.003565,0.003565,0.003565
67,3869.37,0.36732,0.26442,0.84039,0.99869,1,0.995,0.97317,0.33615,0.24861,0.76488,0.003466,0.003466,0.003466
68,3923.37,0.36979,0.26899,0.84288,0.99871,1,0.995,0.96383,0.27382,0.19921,0.76408,0.003367,0.003367,0.003367
69,3975.14,0.36271,0.25536,0.83101,1,1,0.995,0.95189,0.33719,0.26488,0.76354,0.003268,0.003268,0.003268
70,4029.49,0.35313,0.2476,0.83581,1,1,0.995,0.97573,0.25681,0.22801,0.75895,0.003169,0.003169,0.003169
71,4080.88,0.36682,0.25866,0.83799,1,1,0.995,0.96096,0.34563,0.2782,0.76155,0.00307,0.00307,0.00307
72,4133.91,0.35568,0.24495,0.8301,0.99872,1,0.995,0.96181,0.25946,0.26435,0.76138,0.002971,0.002971,0.002971
73,4180.84,0.35013,0.2477,0.83112,0.9987,1,0.995,0.97747,0.26209,0.21716,0.7592,0.002872,0.002872,0.002872
74,4233.91,0.34952,0.24629,0.84158,1,1,0.995,0.97624,0.25749,0.24716,0.76087,0.002773,0.002773,0.002773
75,4284.56,0.32982,0.23068,0.83718,1,1,0.995,0.95678,0.33915,0.21103,0.76448,0.002674,0.002674,0.002674
76,4337.16,0.33632,0.23495,0.84215,1,1,0.995,0.94356,0.42757,0.26711,0.76651,0.002575,0.002575,0.002575
77,4387.78,0.33973,0.24006,0.84584,1,1,0.995,0.95948,0.3189,0.18849,0.76115,0.002476,0.002476,0.002476
78,4440.44,0.35681,0.24636,0.84018,1,1,0.995,0.97736,0.29347,0.25415,0.75928,0.002377,0.002377,0.002377
79,4493.81,0.34583,0.23751,0.83534,1,1,0.995,0.96968,0.30255,0.1516,0.76101,0.002278,0.002278,0.002278
80,4548.24,0.3369,0.24041,0.8393,1,1,0.995,0.954,0.35452,0.17649,0.75994,0.002179,0.002179,0.002179
81,4600.34,0.34545,0.22971,0.835,1,1,0.995,0.97728,0.28539,0.18768,0.76209,0.00208,0.00208,0.00208
82,4647.38,0.34392,0.23426,0.84492,1,1,0.995,0.96943,0.298,0.23475,0.75728,0.001981,0.001981,0.001981
83,4715.1,0.33196,0.2272,0.83146,1,1,0.995,0.97538,0.31914,0.24955,0.7587,0.001882,0.001882,0.001882
84,4771.19,0.33404,0.22341,0.83498,1,1,0.995,0.97509,0.29333,0.23191,0.76073,0.001783,0.001783,0.001783
85,4827.4,0.33712,0.2295,0.83022,1,1,0.995,0.97188,0.27928,0.18366,0.75895,0.001684,0.001684,0.001684
86,4879.22,0.32014,0.22062,0.84523,1,1,0.995,0.97835,0.30507,0.23488,0.76276,0.001585,0.001585,0.001585
87,4931.57,0.32358,0.22219,0.83342,1,1,0.995,0.96101,0.3386,0.23003,0.76589,0.001486,0.001486,0.001486
88,4984.4,0.31995,0.22037,0.83289,1,1,0.995,0.96007,0.30271,0.15784,0.75798,0.001387,0.001387,0.001387
89,5037.02,0.33507,0.22566,0.82722,1,1,0.995,0.96978,0.3602,0.22756,0.76417,0.001288,0.001288,0.001288
90,5091.82,0.32642,0.22254,0.83528,1,1,0.995,0.96735,0.26195,0.16996,0.75882,0.001189,0.001189,0.001189
91,5164.51,0.29615,0.19901,0.79834,0.99876,1,0.995,0.96594,0.27688,0.17003,0.75791,0.00109,0.00109,0.00109
92,5219.08,0.29742,0.19107,0.79505,0.99874,1,0.995,0.97214,0.24269,0.14424,0.75687,0.000991,0.000991,0.000991
93,5270.48,0.29808,0.18723,0.78878,0.99873,1,0.995,0.95079,0.27372,0.14949,0.75996,0.000892,0.000892,0.000892
94,5324.31,0.2911,0.17896,0.78155,0.99875,1,0.995,0.97173,0.29954,0.17931,0.75964,0.000793,0.000793,0.000793
95,5384.34,0.27967,0.17244,0.78305,0.99874,1,0.995,0.9753,0.25726,0.14843,0.75579,0.000694,0.000694,0.000694
96,5429.26,0.28745,0.17751,0.7825,0.99874,1,0.995,0.97004,0.24545,0.14551,0.75859,0.000595,0.000595,0.000595
97,5480.51,0.28184,0.17031,0.7868,0.99875,1,0.995,0.96896,0.31887,0.18179,0.76118,0.000496,0.000496,0.000496
98,5531.12,0.29004,0.17202,0.77558,0.99874,1,0.995,0.98041,0.25171,0.14795,0.75603,0.000397,0.000397,0.000397
99,5587.57,0.28098,0.16913,0.77757,0.99875,1,0.995,0.97802,0.22932,0.13606,0.75443,0.000298,0.000298,0.000298
100,5642.81,0.27082,0.1649,0.76144,0.99876,1,0.995,0.97281,0.24141,0.14155,0.75439,0.000199,0.000199,0.000199
