epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,2771.4,0.28489,0.36239,0.80937,0.96145,0.89736,0.96552,0.95065,0.2133,0.29914,0.74651,0.005743,0.005743,0.005743
45,2838.38,0.27231,0.3458,0.80769,0.89926,0.90205,0.96467,0.89797,0.39803,0.62293,0.80097,0.005644,0.005644,0.005644
46,2896.7,0.29211,0.3471,0.80873,0.93371,0.95163,0.97406,0.95944,0.25688,0.32196,0.75229,0.005545,0.005545,0.005545
47,2954.9,0.29899,0.35926,0.81562,0.83491,0.91225,0.9672,0.92675,0.3504,0.3907,0.78436,0.005446,0.005446,0.005446
48,3012.66,0.30836,0.36227,0.81334,0.92796,0.93997,0.98178,0.93485,0.2856,0.38673,0.7641,0.005347,0.005347,0.005347
49,3066.82,0.28469,0.34356,0.80158,0.9344,0.92414,0.97996,0.9432,0.28464,0.50779,0.75583,0.005248,0.005248,0.005248
50,3134.96,0.28615,0.3442,0.80846,0.9522,0.91419,0.98138,0.96358,0.26242,0.31571,0.74864,0.005149,0.005149,0.005149
51,3210.01,0.2797,0.33228,0.80838,0.9389,0.93819,0.97469,0.94771,0.24659,0.33984,0.74855,0.00505,0.00505,0.00505
52,3271.75,0.2854,0.34324,0.80707,0.91594,0.92999,0.98518,0.95648,0.27103,0.33399,0.7492,0.004951,0.004951,0.004951
53,3337.51,0.28174,0.34784,0.81091,0.94263,0.93691,0.97804,0.94922,0.26659,0.34342,0.75522,0.004852,0.004852,0.004852
54,3400.82,0.27339,0.32926,0.81014,0.92356,0.94729,0.96371,0.94138,0.23663,0.34553,0.74871,0.004753,0.004753,0.004753
55,3459.43,0.26912,0.33377,0.81088,0.95435,0.93,0.98312,0.9588,0.24407,0.34066,0.7479,0.004654,0.004654,0.004654
56,3538.36,0.27052,0.34177,0.80935,0.9167,0.94167,0.97541,0.95906,0.22734,0.3463,0.74842,0.004555,0.004555,0.004555
57,3600.7,0.25748,0.3195,0.80762,0.89572,0.93404,0.96883,0.96064,0.20117,0.29779,0.74082,0.004456,0.004456,0.004456
58,3664.63,0.26226,0.32012,0.81292,0.89375,0.93349,0.97261,0.94353,0.28446,0.35329,0.76686,0.004357,0.004357,0.004357
59,3745.24,0.26154,0.32925,0.80602,0.90745,0.96128,0.97559,0.94595,0.27497,0.38404,0.76324,0.004258,0.004258,0.004258
60,3824.78,0.26308,0.3129,0.80632,0.97521,0.92153,0.98137,0.96693,0.25771,0.31026,0.75234,0.004159,0.004159,0.004159
61,3900.4,0.26411,0.32163,0.80185,0.91944,0.97616,0.98182,0.96581,0.23015,0.29012,0.7437,0.00406,0.00406,0.00406
62,3978.8,0.25964,0.31504,0.80858,0.93528,0.97065,0.98317,0.96398,0.21881,0.26524,0.74857,0.003961,0.003961,0.003961
63,4080.37,0.24936,0.31076,0.80283,0.9224,0.94969,0.97582,0.96362,0.22212,0.29681,0.74312,0.003862,0.003862,0.003862
64,4151.61,0.25389,0.31392,0.80411,0.88916,0.97665,0.98247,0.97397,0.22719,0.28678,0.74496,0.003763,0.003763,0.003763
65,4224.59,0.24336,0.29484,0.80641,0.96242,0.91755,0.98363,0.96415,0.22995,0.28599,0.7496,0.003664,0.003664,0.003664
66,4292.32,0.2513,0.31778,0.80667,0.95705,0.94378,0.98513,0.96622,0.24001,0.29454,0.74838,0.003565,0.003565,0.003565
67,4355.49,0.25816,0.30906,0.80772,0.9384,0.95623,0.98647,0.97396,0.21882,0.28354,0.74493,0.003466,0.003466,0.003466
68,4429.66,0.24463,0.29354,0.80681,0.94165,0.95679,0.98066,0.96474,0.20091,0.27126,0.73796,0.003367,0.003367,0.003367
69,4492.56,0.24218,0.30294,0.80624,0.94387,0.93942,0.97769,0.95072,0.25229,0.34972,0.75583,0.003268,0.003268,0.003268
70,4561.9,0.25045,0.30767,0.8039,0.95958,0.94968,0.97801,0.96568,0.21329,0.27108,0.74333,0.003169,0.003169,0.003169
71,4625.72,0.24622,0.301,0.80732,0.94287,0.94313,0.98747,0.9796,0.20025,0.26537,0.73948,0.00307,0.00307,0.00307
72,4687.75,0.23933,0.29482,0.80706,0.9601,0.95914,0.98316,0.97291,0.20142,0.26408,0.73993,0.002971,0.002971,0.002971
73,4750.37,0.2298,0.27252,0.79941,0.95147,0.96291,0.98384,0.97087,0.23381,0.2916,0.74388,0.002872,0.002872,0.002872
74,4811.76,0.23689,0.28825,0.8064,0.95217,0.9596,0.97974,0.97281,0.20625,0.26918,0.74285,0.002773,0.002773,0.002773
75,4872.67,0.23528,0.29214,0.80133,0.93378,0.95983,0.97982,0.97046,0.1984,0.28722,0.74013,0.002674,0.002674,0.002674
76,4952,0.24577,0.31544,0.80404,0.9324,0.94732,0.98553,0.97578,0.19135,0.25175,0.7395,0.002575,0.002575,0.002575
77,5016.26,0.23317,0.28609,0.80748,0.93382,0.97858,0.98686,0.97699,0.20054,0.24713,0.73861,0.002476,0.002476,0.002476
78,5086.11,0.23309,0.28179,0.80836,0.95839,0.945,0.98182,0.97326,0.19175,0.26809,0.73544,0.002377,0.002377,0.002377
79,5154.36,0.2252,0.27461,0.80496,0.93642,0.94179,0.98643,0.97542,0.1962,0.25147,0.73937,0.002278,0.002278,0.002278
80,5217.15,0.22732,0.27295,0.79832,0.96187,0.93336,0.98284,0.97018,0.18699,0.27499,0.73594,0.002179,0.002179,0.002179
81,5277.35,0.23623,0.29421,0.80567,0.95484,0.94433,0.98158,0.97311,0.23508,0.31838,0.74397,0.00208,0.00208,0.00208
82,5340.84,0.22885,0.2851,0.80019,0.938,0.94278,0.98002,0.96722,0.20391,0.28124,0.74119,0.001981,0.001981,0.001981
83,5410.48,0.22688,0.27769,0.79987,0.94863,0.95054,0.98231,0.97232,0.19751,0.24845,0.74168,0.001882,0.001882,0.001882
84,5473.46,0.22052,0.27631,0.79924,0.95663,0.95582,0.98164,0.9743,0.19772,0.26291,0.73911,0.001783,0.001783,0.001783
85,5535.02,0.22121,0.277,0.79542,0.96102,0.94975,0.97831,0.9701,0.1871,0.25071,0.74142,0.001684,0.001684,0.001684
86,5602.16,0.22409,0.27162,0.80293,0.96296,0.95479,0.98386,0.97384,0.19284,0.239,0.73809,0.001585,0.001585,0.001585
87,5662.55,0.22393,0.26731,0.79668,0.95141,0.9649,0.98656,0.97456,0.1948,0.25426,0.73751,0.001486,0.001486,0.001486
88,5728.54,0.21692,0.26007,0.80635,0.95535,0.94426,0.98677,0.97839,0.1892,0.24875,0.73675,0.001387,0.001387,0.001387
89,5798.27,0.21804,0.2642,0.79994,0.96466,0.94655,0.98629,0.97372,0.18995,0.2337,0.73875,0.001288,0.001288,0.001288
90,5866.25,0.21324,0.26012,0.79526,0.95188,0.97759,0.98796,0.97715,0.17884,0.22711,0.73876,0.001189,0.001189,0.001189
91,5935.97,0.20439,0.24429,0.78364,0.93331,0.9644,0.9784,0.96176,0.20442,0.26769,0.74106,0.00109,0.00109,0.00109
92,5999.42,0.20159,0.23907,0.77196,0.93591,0.95765,0.98118,0.97275,0.1987,0.37032,0.73911,0.000991,0.000991,0.000991
93,6060.97,0.19622,0.22202,0.78062,0.95248,0.94651,0.97654,0.95051,0.27913,0.60115,0.75943,0.000892,0.000892,0.000892
94,6119.97,0.19483,0.2165,0.77558,0.93675,0.95528,0.97985,0.96779,0.22447,0.44702,0.74745,0.000793,0.000793,0.000793
95,6185.3,0.19463,0.21951,0.78592,0.95837,0.94814,0.97757,0.96898,0.18999,0.36936,0.73612,0.000694,0.000694,0.000694
96,6246.3,0.1856,0.20656,0.78398,0.96135,0.94654,0.9771,0.96727,0.16976,0.31566,0.73146,0.000595,0.000595,0.000595
97,6305.02,0.1796,0.20178,0.781,0.95959,0.95235,0.97619,0.96821,0.17758,0.32486,0.73128,0.000496,0.000496,0.000496
98,6366.01,0.18155,0.20449,0.78519,0.96103,0.95681,0.97769,0.96842,0.18252,0.30821,0.73259,0.000397,0.000397,0.000397
99,6428.8,0.18087,0.19654,0.77394,0.95752,0.95919,0.97411,0.96879,0.18502,0.3042,0.73353,0.000298,0.000298,0.000298
100,6491.09,0.17653,0.19049,0.78184,0.95817,0.95883,0.97838,0.96903,0.17525,0.28835,0.73326,0.000199,0.000199,0.000199
