epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
46,1858.34,0.40141,0.30517,0.85305,1,1,0.995,0.9646,0.28399,0.26036,0.74399,0.005545,0.005545,0.005545
47,1895.98,0.38819,0.29542,0.85127,0.99871,1,0.995,0.9575,0.31942,0.24116,0.74818,0.005446,0.005446,0.005446
48,1936.69,0.38012,0.28857,0.85476,0.9987,1,0.995,0.97224,0.28702,0.23079,0.74074,0.005347,0.005347,0.005347
49,1975.81,0.40902,0.30174,0.85245,0.99866,1,0.995,0.9666,0.31368,0.23109,0.74221,0.005248,0.005248,0.005248
50,2011.02,0.39821,0.29958,0.85047,0.99865,1,0.995,0.97863,0.29554,0.26303,0.74331,0.005149,0.005149,0.005149
51,2048.84,0.41441,0.30359,0.84581,0.99867,1,0.995,0.92746,0.34929,0.30186,0.74844,0.00505,0.00505,0.00505
52,2083.65,0.39521,0.29723,0.83888,0.99873,1,0.995,0.92095,0.32576,0.27695,0.74284,0.004951,0.004951,0.004951
53,2118.19,0.38843,0.28971,0.84161,0.99869,1,0.995,0.97137,0.29729,0.26324,0.74572,0.004852,0.004852,0.004852
54,2152.35,0.39308,0.29143,0.8453,0.99871,1,0.995,0.96218,0.33699,0.26707,0.74621,0.004753,0.004753,0.004753
55,2186.28,0.39193,0.28128,0.85053,0.99872,1,0.995,0.96129,0.3429,0.24099,0.74238,0.004654,0.004654,0.004654
56,2223.72,0.38794,0.2804,0.85163,0.99872,1,0.995,0.97675,0.25739,0.19978,0.73984,0.004555,0.004555,0.004555
57,2257.51,0.36441,0.26532,0.83623,0.99872,1,0.995,0.94043,0.36063,0.27003,0.74499,0.004456,0.004456,0.004456
58,2292.97,0.37377,0.27256,0.84087,0.99866,1,0.995,0.94992,0.35838,0.203,0.7453,0.004357,0.004357,0.004357
59,2326.86,0.38615,0.27704,0.84733,0.99864,1,0.995,0.94398,0.32196,0.17713,0.74203,0.004258,0.004258,0.004258
60,2363.43,0.37507,0.26575,0.83959,0.99866,1,0.995,0.90355,0.39265,0.2203,0.74911,0.004159,0.004159,0.004159
61,2399.82,0.3772,0.26569,0.84131,0.99871,1,0.995,0.97083,0.28978,0.19209,0.74111,0.00406,0.00406,0.00406
62,2443.01,0.36784,0.26076,0.83603,0.99866,1,0.995,0.94165,0.3242,0.23673,0.74291,0.003961,0.003961,0.003961
63,2477.39,0.37688,0.26061,0.84992,0.99852,1,0.995,0.93723,0.39692,0.25639,0.74992,0.003862,0.003862,0.003862
64,2512.88,0.36897,0.25462,0.84566,0.99872,1,0.995,0.96316,0.39396,0.23698,0.76239,0.003763,0.003763,0.003763
65,2567.73,0.36663,0.25373,0.83573,1,1,0.995,0.97944,0.32618,0.20997,0.74812,0.003664,0.003664,0.003664
66,2621.88,0.35156,0.2517,0.84093,0.99866,1,0.995,0.95142,0.29792,0.18388,0.7388,0.003565,0.003565,0.003565
67,2676.96,0.35439,0.25416,0.8413,0.99872,1,0.995,0.95732,0.28684,0.22661,0.73852,0.003466,0.003466,0.003466
68,2730.72,0.35777,0.24989,0.84451,0.99872,1,0.995,0.94884,0.29166,0.24786,0.73705,0.003367,0.003367,0.003367
69,2786.7,0.37431,0.26056,0.82725,0.9987,1,0.995,0.94562,0.31035,0.15699,0.73861,0.003268,0.003268,0.003268
70,2839.72,0.3635,0.25738,0.83596,0.99826,1,0.995,0.98013,0.24003,0.16305,0.73642,0.003169,0.003169,0.003169
71,2894.14,0.35567,0.25945,0.84066,0.99847,1,0.995,0.95756,0.30383,0.16339,0.76707,0.00307,0.00307,0.00307
72,2950.22,0.34916,0.2496,0.83459,0.99871,1,0.995,0.92312,0.40972,0.20686,0.77068,0.002971,0.002971,0.002971
73,3012.1,0.35659,0.25561,0.83456,0.99872,1,0.995,0.97135,0.25768,0.15248,0.74035,0.002872,0.002872,0.002872
74,3053.41,0.35609,0.25447,0.84442,1,1,0.995,0.95403,0.30047,0.19661,0.74959,0.002773,0.002773,0.002773
75,3098.33,0.35333,0.23929,0.83982,1,1,0.995,0.96662,0.29637,0.19376,0.74882,0.002674,0.002674,0.002674
76,3137.48,0.35072,0.24285,0.84769,1,1,0.995,0.93865,0.37363,0.15588,0.74811,0.002575,0.002575,0.002575
77,3186.97,0.36879,0.2487,0.84777,0.99873,1,0.995,0.94717,0.30476,0.22358,0.73792,0.002476,0.002476,0.002476
78,3237.12,0.36556,0.25346,0.84112,1,1,0.995,0.96289,0.29872,0.23076,0.73668,0.002377,0.002377,0.002377
79,3289.77,0.35464,0.2359,0.83499,1,1,0.995,0.96358,0.28046,0.20772,0.7374,0.002278,0.002278,0.002278
80,3346.04,0.34392,0.2409,0.8364,1,1,0.995,0.97828,0.27094,0.2132,0.7407,0.002179,0.002179,0.002179
81,3397.17,0.34491,0.2375,0.83558,1,1,0.995,0.96603,0.26382,0.17697,0.73463,0.00208,0.00208,0.00208
82,3439.58,0.34118,0.23333,0.84428,1,1,0.995,0.96049,0.2818,0.17195,0.73761,0.001981,0.001981,0.001981
83,3486.3,0.31588,0.22137,0.83135,0.99875,1,0.995,0.96109,0.2825,0.16046,0.742,0.001882,0.001882,0.001882
84,3541.67,0.31191,0.20715,0.83426,0.99875,1,0.995,0.9796,0.25479,0.1728,0.73355,0.001783,0.001783,0.001783
85,3596.71,0.32559,0.22123,0.8302,1,1,0.995,0.96752,0.27957,0.16041,0.73991,0.001684,0.001684,0.001684
86,3656.06,0.30906,0.20712,0.8422,0.99874,1,0.995,0.95884,0.29735,0.17118,0.73571,0.001585,0.001585,0.001585
87,3709.92,0.32597,0.21932,0.82956,1,1,0.995,0.97093,0.26738,0.17904,0.73534,0.001486,0.001486,0.001486
88,3765.03,0.32272,0.22186,0.83144,1,1,0.995,0.9643,0.26707,0.15808,0.7368,0.001387,0.001387,0.001387
89,3821.49,0.32463,0.21626,0.82244,0.99873,1,0.995,0.93674,0.35638,0.18151,0.73846,0.001288,0.001288,0.001288
90,3880.19,0.29618,0.21013,0.82967,0.99875,1,0.995,0.92619,0.35611,0.1948,0.74193,0.001189,0.001189,0.001189
91,3932.49,0.29281,0.1985,0.79204,1,1,0.995,0.95765,0.31845,0.25292,0.73463,0.00109,0.00109,0.00109
92,3988.55,0.30255,0.18281,0.79282,1,1,0.995,0.9644,0.2618,0.19707,0.73322,0.000991,0.000991,0.000991
93,4041.28,0.29177,0.1873,0.78753,1,1,0.995,0.97678,0.26697,0.23092,0.73276,0.000892,0.000892,0.000892
94,4094.6,0.27853,0.17946,0.77869,1,1,0.995,0.97304,0.28667,0.19323,0.73341,0.000793,0.000793,0.000793
95,4147.75,0.28485,0.17472,0.7821,1,1,0.995,0.96153,0.28795,0.19585,0.73652,0.000694,0.000694,0.000694
96,4198.49,0.27915,0.17404,0.7829,1,1,0.995,0.9652,0.31441,0.17159,0.73391,0.000595,0.000595,0.000595
97,4250.15,0.28211,0.17109,0.78515,1,1,0.995,0.96526,0.2804,0.13906,0.73433,0.000496,0.000496,0.000496
98,4299.82,0.27973,0.16924,0.77873,1,1,0.995,0.96369,0.25247,0.14134,0.73234,0.000397,0.000397,0.000397
99,4350.17,0.27261,0.16418,0.78284,1,1,0.995,0.96489,0.26009,0.126,0.73196,0.000298,0.000298,0.000298
100,4403.22,0.27186,0.15667,0.76496,1,1,0.995,0.97099,0.28073,0.1485,0.73478,0.000199,0.000199,0.000199
